cohort_month,months_since_cohort,cohort_size,retained_users,retention_rate
2020-02-01,25,67,34,50.75
2020-02-01,26,67,40,59.7
2020-02-01,27,67,38,56.72
2020-02-01,28,67,32,47.76
2020-02-01,29,67,38,56.72
2020-02-01,30,67,37,55.22
2020-02-01,31,67,37,55.22
2020-02-01,32,67,33,49.25
2020-02-01,33,67,29,43.28
2020-02-01,34,67,35,52.24
2020-02-01,35,67,33,49.25
2020-02-01,36,67,28,41.79
2020-02-01,37,67,42,62.69
2020-02-01,38,67,39,58.21
2020-02-01,39,67,41,61.19
2020-02-01,40,67,45,67.16
2020-02-01,41,67,38,56.72
2020-02-01,42,67,42,62.69
2020-02-01,43,67,40,59.7
2020-02-01,44,67,30,44.78
2020-02-01,45,67,34,50.75
2020-02-01,46,67,33,49.25
2020-02-01,47,67,34,50.75
2020-02-01,48,67,27,40.3
2020-02-01,49,67,18,26.87
2020-02-01,50,67,16,23.88
2020-02-01,51,67,14,20.9
2020-02-01,52,67,15,22.39
2020-02-01,53,67,13,19.4
2020-03-01,0,49,49,100.0
2020-03-01,1,49,14,28.57
2020-03-01,2,49,15,30.61
2020-03-01,3,49,13,26.53
2020-03-01,4,49,15,30.61
2020-03-01,5,49,13,26.53
2020-03-01,6,49,16,32.65
2020-03-01,7,49,17,34.69
2020-03-01,8,49,16,32.65
2020-03-01,9,49,14,28.57
2020-03-01,10,49,12,24.49
2020-03-01,11,49,12,24.49
2020-03-01,12,49,18,36.73
2020-03-01,13,49,16,32.65
2020-03-01,14,49,19,38.78
2020-03-01,15,49,17,34.69
2020-03-01,16,49,19,38.78
2020-03-01,17,49,12,24.49
2020-03-01,18,49,18,36.73
2020-03-01,19,49,16,32.65
2020-03-01,20,49,13,26.53
2020-03-01,21,49,15,30.61
2020-03-01,22,49,13,26.53
2020-03-01,23,49,11,22.45
2020-03-01,24,49,15,30.61
2020-03-01,25,49,16,32.65
2020-03-01,26,49,15,30.61
2020-03-01,27,49,19,38.78
2020-03-01,28,49,17,34.69
2020-03-01,29,49,16,32.65
2020-03-01,30,49,17,34.69
2020-03-01,31,49,12,24.49
2020-03-01,32,49,14,28.57
2020-03-01,33,49,17,34.69
2020-03-01,34,49,13,26.53
2020-03-01,35,49,16,32.65
2020-03-01,36,49,18,36.73
2020-03-01,37,49,21,42.86
2020-03-01,38,49,20,40.82
2020-03-01,39,49,18,36.73
2020-03-01,40,49,17,34.69
2020-03-01,41,49,18,36.73
2020-03-01,42,49,19,38.78
2020-03-01,43,49,12,24.49
2020-03-01,44,49,12,24.49
2020-03-01,45,49,10,20.41
2020-03-01,46,49,13,26.53
2020-03-01,47,49,10,20.41
2020-03-01,48,49,3,6.12
2020-03-01,49,49,4,8.16
2020-03-01,50,49,4,8.16
2020-03-01,51,49,3,6.12
2020-03-01,52,49,4,8.16
2020-04-01,0,41,41,100.0
2020-04-01,1,41,5,12.2
2020-04-01,2,41,6,14.63
2020-04-01,3,41,6,14.63
2020-04-01,4,41,5,12.2
2020-04-01,5,41,4,9.76
2020-04-01,6,41,5,12.2
2020-04-01,7,41,8,19.51
2020-04-01,8,41,10,24.39
2020-04-01,9,41,11,26.83
2020-04-01,10,41,5,12.2
2020-04-01,11,41,5,12.2
2020-04-01,12,41,10,24.39
2020-04-01,13,41,4,9.76
2020-04-01,14,41,8,19.51
2020-04-01,15,41,8,19.51
2020-04-01,16,41,6,14.63
2020-04-01,17,41,6,14.63
2020-04-01,18,41,5,12.2
2020-04-01,19,41,7,17.07
2020-04-01,20,41,4,9.76
2020-04-01,21,41,5,12.2
2020-04-01,22,41,5,12.2
2020-04-01,23,41,7,17.07
2020-04-01,24,41,7,17.07
2020-04-01,25,41,9,21.95
2020-04-01,26,41,5,12.2
2020-04-01,27,41,8,19.51
2020-04-01,28,41,10,24.39
2020-04-01,29,41,7,17.07
2020-04-01,30,41,11,26.83
2020-04-01,31,41,8,19.51
2020-04-01,32,41,4,9.76
2020-04-01,33,41,6,14.63
2020-04-01,34,41,7,17.07
2020-04-01,35,41,7,17.07
2020-04-01,36,41,6,14.63
2020-04-01,37,41,7,17.07
2020-04-01,38,41,6,14.63
2020-04-01,39,41,9,21.95
2020-04-01,40,41,9,21.95
2020-04-01,41,41,7,17.07
2020-04-01,42,41,7,17.07
2020-04-01,43,41,6,14.63
2020-04-01,44,41,4,9.76
2020-04-01,45,41,8,19.51
2020-04-01,46,41,4,9.76
2020-04-01,47,41,3,7.32
2020-04-01,48,41,3,7.32
2020-04-01,49,41,1,2.44
2020-04-01,50,41,1,2.44
2020-04-01,51,41,3,7.32
2020-05-01,0,30,30,100.0
2020-05-01,1,30,5,16.67
2020-05-01,2,30,3,10.0
2020-05-01,3,30,4,13.33
2020-05-01,4,30,4,13.33
2020-05-01,5,30,8,26.67
2020-05-01,6,30,2,6.67
2020-05-01,7,30,6,20.0
2020-05-01,8,30,4,13.33
2020-05-01,9,30,4,13.33
2020-05-01,10,30,3,10.0
2020-05-01,11,30,4,13.33
2020-05-01,12,30,5,16.67
2020-05-01,13,30,5,16.67
2020-05-01,14,30,2,6.67
2020-05-01,15,30,3,10.0
2020-05-01,16,30,5,16.67
2020-05-01,17,30,3,10.0
2020-05-01,18,30,4,13.33
2020-05-01,19,30,6,20.0
2020-05-01,20,30,7,23.33
2020-05-01,21,30,1,3.33
2020-05-01,22,30,3,10.0
2020-05-01,23,30,8,26.67
2020-05-01,24,30,3,10.0
2020-05-01,25,30,2,6.67
2020-05-01,26,30,4,13.33
2020-05-01,27,30,3,10.0
2020-05-01,28,30,3,10.0
2020-05-01,29,30,4,13.33
2020-05-01,30,30,2,6.67
2020-05-01,31,30,3,10.0
2020-05-01,32,30,2,6.67
2020-05-01,33,30,3,10.0
2020-05-01,34,30,3,10.0
2020-05-01,35,30,2,6.67
2020-05-01,36,30,3,10.0
2020-05-01,37,30,1,3.33
2020-05-01,38,30,3,10.0
2020-05-01,39,30,4,13.33
2020-05-01,40,30,3,10.0
2020-05-01,41,30,7,23.33
2020-05-01,42,30,3,10.0
2020-05-01,43,30,4,13.33
2020-05-01,44,30,4,13.33
2020-05-01,45,30,2,6.67
2020-05-01,46,30,1,3.33
2020-05-01,47,30,1,3.33
2020-05-01,49,30,1,3.33
2020-05-01,50,30,2,6.67
2020-06-01,0,34,34,100.0
2020-06-01,1,34,6,17.65
2020-06-01,2,34,3,8.82
2020-06-01,3,34,4,11.76
2020-06-01,4,34,2,5.88
2020-06-01,5,34,5,14.71
2020-06-01,6,34,4,11.76
2020-06-01,7,34,4,11.76
2020-06-01,8,34,2,5.88
2020-06-01,9,34,1,2.94
2020-06-01,10,34,2,5.88
2020-06-01,11,34,1,2.94
2020-06-01,12,34,1,2.94
2020-06-01,13,34,3,8.82
2020-06-01,14,34,1,2.94
2020-06-01,15,34,3,8.82
2020-06-01,16,34,2,5.88
2020-06-01,17,34,3,8.82
2020-06-01,18,34,2,5.88
2020-06-01,19,34,6,17.65
2020-06-01,20,34,1,2.94
2020-06-01,21,34,3,8.82
2020-06-01,23,34,2,5.88
2020-06-01,24,34,2,5.88
2020-06-01,26,34,2,5.88
2020-06-01,27,34,3,8.82
2020-06-01,28,34,3,8.82
2020-06-01,29,34,1,2.94
2020-06-01,30,34,2,5.88
2020-06-01,31,34,6,17.65
2020-06-01,32,34,1,2.94
2020-06-01,33,34,2,5.88
2020-06-01,34,34,4,11.76
2020-06-01,35,34,2,5.88
2020-06-01,36,34,4,11.76
2020-06-01,37,34,1,2.94
2020-06-01,38,34,3,8.82
2020-06-01,39,34,5,14.71
2020-06-01,40,34,2,5.88
2020-06-01,41,34,2,5.88
2020-06-01,42,34,3,8.82
2020-06-01,43,34,2,5.88
2020-06-01,44,34,1,2.94
2020-07-01,0,16,16,100.0
2020-07-01,1,16,3,18.75
2020-07-01,2,16,2,12.5
2020-07-01,3,16,1,6.25
2020-07-01,4,16,2,12.5
2020-07-01,5,16,3,18.75
2020-07-01,7,16,1,6.25
2020-07-01,8,16,1,6.25
2020-07-01,9,16,3,18.75
2020-07-01,10,16,2,12.5
2020-07-01,11,16,3,18.75
2020-07-01,12,16,3,18.75
2020-07-01,13,16,3,18.75
2020-07-01,14,16,3,18.75
2020-07-01,15,16,2,12.5
2020-07-01,16,16,1,6.25
2020-07-01,17,16,2,12.5
2020-07-01,18,16,2,12.5
2020-07-01,20,16,2,12.5
2020-07-01,21,16,3,18.75
2020-07-01,22,16,3,18.75
2020-07-01,23,16,2,12.5
2020-07-01,24,16,2,12.5
2020-07-01,25,16,2,12.5
2020-07-01,26,16,2,12.5
2020-07-01,27,16,2,12.5
2020-07-01,28,16,4,25.0
2020-07-01,29,16,5,31.25
2020-07-01,30,16,6,37.5
2020-07-01,31,16,3,18.75
2020-07-01,32,16,2,12.5
2020-07-01,33,16,2,12.5
2020-07-01,34,16,2,12.5
2020-07-01,35,16,3,18.75
2020-07-01,36,16,2,12.5
2020-07-01,37,16,2,12.5
2020-07-01,38,16,1,6.25
2020-07-01,39,16,2,12.5
2020-07-01,40,16,4,25.0
2020-07-01,41,16,2,12.5
2020-07-01,42,16,2,12.5
2020-07-01,46,16,1,6.25
2020-08-01,0,25,25,100.0
2020-08-01,1,25,2,8.0
2020-08-01,2,25,1,4.0
2020-08-01,3,25,3,12.0
2020-08-01,5,25,2,8.0
2020-08-01,6,25,2,8.0
2020-08-01,7,25,2,8.0
2020-08-01,8,25,2,8.0
2020-08-01,9,25,1,4.0
2020-08-01,10,25,1,4.0
2020-08-01,11,25,1,4.0
2020-08-01,12,25,3,12.0
2020-08-01,14,25,2,8.0
2020-08-01,15,25,3,12.0
2020-08-01,16,25,1,4.0
2020-08-01,17,25,1,4.0
2020-08-01,18,25,1,4.0
2020-08-01,19,25,2,8.0
2020-08-01,20,25,2,8.0
2020-08-01,21,25,1,4.0
2020-08-01,22,25,5,20.0
2020-08-01,23,25,2,8.0
2020-08-01,24,25,3,12.0
2020-08-01,25,25,2,8.0
2020-08-01,26,25,1,4.0
2020-08-01,27,25,2,8.0
2020-08-01,28,25,1,4.0
2020-08-01,29,25,1,4.0
2020-08-01,30,25,3,12.0
2020-08-01,31,25,1,4.0
2020-08-01,33,25,4,16.0
2020-08-01,34,25,1,4.0
2020-08-01,35,25,1,4.0
2020-08-01,36,25,2,8.0
2020-08-01,37,25,2,8.0
2020-08-01,38,25,2,8.0
2020-08-01,39,25,2,8.0
2020-08-01,40,25,1,4.0
2020-08-01,41,25,5,20.0
2020-09-01,0,16,16,100.0
2020-09-01,1,16,1,6.25
2020-09-01,2,16,1,6.25
2020-09-01,4,16,2,12.5
2020-09-01,5,16,1,6.25
2020-09-01,6,16,2,12.5
2020-09-01,7,16,1,6.25
2020-09-01,8,16,2,12.5
2020-09-01,9,16,1,6.25
2020-09-01,11,16,1,6.25
2020-09-01,12,16,2,12.5
2020-09-01,13,16,1,6.25
2020-09-01,15,16,1,6.25
2020-09-01,16,16,1,6.25
2020-09-01,18,16,1,6.25
2020-09-01,19,16,1,6.25
2020-09-01,20,16,1,6.25
2020-09-01,22,16,1,6.25
2020-09-01,23,16,2,12.5
2020-09-01,24,16,1,6.25
2020-09-01,25,16,4,25.0
2020-09-01,26,16,1,6.25
2020-09-01,27,16,4,25.0
2020-09-01,28,16,2,12.5
2020-09-01,31,16,1,6.25
2020-09-01,34,16,3,18.75
2020-09-01,35,16,2,12.5
2020-09-01,36,16,1,6.25
2020-09-01,37,16,1,6.25
2020-09-01,38,16,2,12.5
2020-09-01,39,16,1,6.25
2020-09-01,40,16,2,12.5
2020-09-01,41,16,1,6.25
2020-10-01,0,15,15,100.0
2020-10-01,1,15,1,6.67
2020-10-01,2,15,1,6.67
2020-10-01,3,15,2,13.33
2020-10-01,4,15,2,13.33
2020-10-01,5,15,1,6.67
2020-10-01,6,15,1,6.67
2020-10-01,7,15,1,6.67
2020-10-01,8,15,2,13.33
2020-10-01,10,15,1,6.67
2020-10-01,11,15,1,6.67
2020-10-01,12,15,4,26.67
2020-10-01,13,15,1,6.67
2020-10-01,14,15,2,13.33
2020-10-01,15,15,1,6.67
2020-10-01,16,15,2,13.33
2020-10-01,18,15,1,6.67
2020-10-01,19,15,2,13.33
2020-10-01,21,15,1,6.67
2020-10-01,24,15,1,6.67
2020-10-01,27,15,2,13.33
2020-10-01,28,15,2,13.33
2020-10-01,29,15,2,13.33
2020-10-01,30,15,3,20.0
2020-10-01,31,15,2,13.33
2020-10-01,32,15,2,13.33
2020-10-01,33,15,1,6.67
2020-10-01,34,15,1,6.67
2020-10-01,35,15,1,6.67
2020-10-01,36,15,1,6.67
2020-10-01,37,15,1,6.67
2020-10-01,38,15,2,13.33
2020-10-01,39,15,2,13.33
2020-11-01,0,15,15,100.0
2020-11-01,3,15,1,6.67
2020-11-01,4,15,1,6.67
2020-11-01,5,15,2,13.33
2020-11-01,6,15,1,6.67
2020-11-01,8,15,1,6.67
2020-11-01,9,15,1,6.67
2020-11-01,11,15,3,20.0
2020-11-01,13,15,2,13.33
2020-11-01,14,15,1,6.67
2020-11-01,15,15,2,13.33
2020-11-01,16,15,2,13.33
2020-11-01,18,15,1,6.67
2020-11-01,19,15,2,13.33
2020-11-01,21,15,2,13.33
2020-11-01,24,15,2,13.33
2020-11-01,27,15,2,13.33
2020-11-01,28,15,2,13.33
2020-11-01,29,15,1,6.67
2020-11-01,30,15,2,13.33
2020-11-01,33,15,1,6.67
2020-11-01,35,15,1,6.67
2020-11-01,36,15,1,6.67
2020-11-01,37,15,2,13.33
2020-11-01,38,15,1,6.67
2020-12-01,0,8,8,100.0
2020-12-01,3,8,3,37.5
2020-12-01,5,8,1,12.5
2020-12-01,8,8,2,25.0
2020-12-01,10,8,1,12.5
2020-12-01,12,8,1,12.5
2020-12-01,15,8,2,25.0
2020-12-01,19,8,1,12.5
2020-12-01,21,8,2,25.0
2020-12-01,22,8,1,12.5
2020-12-01,23,8,1,12.5
2020-12-01,27,8,1,12.5
2020-12-01,28,8,2,25.0
2020-12-01,29,8,1,12.5
2020-12-01,31,8,1,12.5
2020-12-01,33,8,2,25.0
2020-12-01,37,8,2,25.0
2021-01-01,0,14,14,100.0
2021-01-01,2,14,1,7.14
2021-01-01,3,14,2,14.29
2021-01-01,4,14,1,7.14
2021-01-01,5,14,1,7.14
2021-01-01,7,14,2,14.29
2021-01-01,8,14,1,7.14
2021-01-01,10,14,1,7.14
2021-01-01,13,14,2,14.29
2021-01-01,16,14,1,7.14
2021-01-01,17,14,1,7.14
2021-01-01,18,14,1,7.14
2021-01-01,19,14,1,7.14
2021-01-01,21,14,3,21.43
2021-01-01,25,14,2,14.29
2021-01-01,26,14,1,7.14
2021-01-01,27,14,1,7.14
2021-01-01,28,14,1,7.14
2021-01-01,29,14,1,7.14
2021-01-01,30,14,1,7.14
2021-01-01,31,14,1,7.14
2021-01-01,32,14,1,7.14
2021-01-01,35,14,1,7.14
2021-01-01,36,14,1,7.14
2021-02-01,0,12,12,100.0
2021-02-01,5,12,1,8.33
2021-02-01,7,12,3,25.0
2021-02-01,8,12,1,8.33
2021-02-01,9,12,1,8.33
2021-02-01,11,12,1,8.33
2021-02-01,12,12,1,8.33
2021-02-01,14,12,1,8.33
2021-02-01,15,12,2,16.67
2021-02-01,16,12,2,16.67
2021-02-01,17,12,1,8.33
2021-02-01,19,12,2,16.67
2021-02-01,21,12,1,8.33
2021-02-01,22,12,3,25.0
2021-02-01,23,12,1,8.33
2021-02-01,24,12,1,8.33
2021-02-01,30,12,1,8.33
2021-02-01,31,12,1,8.33
2021-02-01,32,12,2,16.67
2021-02-01,34,12,1,8.33
2021-02-01,35,12,1,8.33
2021-02-01,36,12,2,16.67
2021-03-01,0,13,13,100.0
2021-03-01,3,13,1,7.69
2021-03-01,4,13,1,7.69
2021-03-01,6,13,2,15.38
2021-03-01,7,13,1,7.69
2021-03-01,9,13,1,7.69
2021-03-01,10,13,1,7.69
2021-03-01,12,13,1,7.69
2021-03-01,13,13,1,7.69
2021-03-01,15,13,2,15.38
2021-03-01,18,13,2,15.38
2021-03-01,20,13,2,15.38
2021-03-01,22,13,1,7.69
2021-03-01,23,13,2,15.38
2021-03-01,25,13,1,7.69
2021-03-01,26,13,1,7.69
2021-03-01,27,13,1,7.69
2021-03-01,28,13,1,7.69
2021-03-01,29,13,4,30.77
2021-03-01,30,13,2,15.38
2021-03-01,31,13,2,15.38
2021-03-01,32,13,2,15.38
2021-03-01,33,13,1,7.69
2021-03-01,34,13,3,23.08
2021-04-01,0,15,15,100.0
2021-04-01,1,15,1,6.67
2021-04-01,2,15,2,13.33
2021-04-01,3,15,1,6.67
2021-04-01,7,15,1,6.67
2021-04-01,8,15,4,26.67
2021-04-01,9,15,2,13.33
2021-04-01,10,15,1,6.67
2021-04-01,12,15,1,6.67
2021-04-01,16,15,1,6.67
2021-04-01,17,15,2,13.33
2021-04-01,18,15,2,13.33
2021-04-01,19,15,3,20.0
2021-04-01,22,15,1,6.67
2021-04-01,24,15,3,20.0
2021-04-01,25,15,1,6.67
2021-04-01,26,15,3,20.0
2021-04-01,27,15,3,20.0
2021-04-01,29,15,1,6.67
2021-04-01,30,15,2,13.33
2021-04-01,32,15,1,6.67
2021-04-01,33,15,1,6.67
2021-04-01,34,15,3,20.0
2021-05-01,0,10,10,100.0
2021-05-01,1,10,1,10.0
2021-05-01,4,10,1,10.0
2021-05-01,5,10,1,10.0
2021-05-01,8,10,1,10.0
2021-05-01,9,10,1,10.0
2021-05-01,10,10,1,10.0
2021-05-01,11,10,1,10.0
2021-05-01,15,10,1,10.0
2021-05-01,19,10,2,20.0
2021-05-01,20,10,1,10.0
2021-05-01,21,10,1,10.0
2021-05-01,23,10,2,20.0
2021-05-01,24,10,1,10.0
2021-05-01,27,10,1,10.0
2021-05-01,30,10,1,10.0
2021-05-01,32,10,1,10.0
2021-06-01,0,11,11,100.0
2021-06-01,1,11,2,18.18
2021-06-01,3,11,1,9.09
2021-06-01,5,11,2,18.18
2021-06-01,6,11,1,9.09
2021-06-01,9,11,1,9.09
2021-06-01,11,11,2,18.18
2021-06-01,12,11,2,18.18
2021-06-01,14,11,1,9.09
2021-06-01,15,11,1,9.09
2021-06-01,16,11,1,9.09
2021-06-01,17,11,1,9.09
2021-06-01,19,11,1,9.09
2021-06-01,20,11,1,9.09
2021-06-01,21,11,1,9.09
2021-06-01,22,11,2,18.18
2021-06-01,23,11,3,27.27
2021-06-01,24,11,1,9.09
2021-06-01,26,11,1,9.09
2021-06-01,27,11,3,27.27
2021-06-01,28,11,1,9.09
2021-06-01,29,11,1,9.09
2021-07-01,0,14,14,100.0
2021-07-01,3,14,2,14.29
2021-07-01,4,14,1,7.14
2021-07-01,5,14,1,7.14
2021-07-01,6,14,1,7.14
2021-07-01,7,14,1,7.14
2021-07-01,8,14,1,7.14
2021-07-01,11,14,3,21.43
2021-07-01,13,14,2,14.29
2021-07-01,14,14,1,7.14
2021-07-01,16,14,2,14.29
2021-07-01,17,14,2,14.29
2021-07-01,18,14,1,7.14
2021-07-01,19,14,1,7.14
2021-07-01,21,14,2,14.29
2021-07-01,22,14,2,14.29
2021-07-01,23,14,1,7.14
2021-07-01,24,14,1,7.14
2021-07-01,25,14,2,14.29
2021-07-01,26,14,2,14.29
2021-07-01,28,14,1,7.14
2021-07-01,29,14,1,7.14
2021-07-01,30,14,3,21.43
2021-08-01,0,5,5,100.0
2021-08-01,1,5,2,40.0
2021-08-01,2,5,1,20.0
2021-08-01,3,5,2,40.0
2021-08-01,4,5,2,40.0
2021-08-01,5,5,1,20.0
2021-08-01,7,5,1,20.0
2021-08-01,10,5,2,40.0
2021-08-01,12,5,1,20.0
2021-08-01,13,5,1,20.0
2021-08-01,15,5,1,20.0
2021-08-01,22,5,1,20.0
2021-08-01,23,5,1,20.0
2021-08-01,26,5,1,20.0
2021-08-01,27,5,1,20.0
2021-08-01,28,5,1,20.0
2021-09-01,0,7,7,100.0
2021-09-01,1,7,2,28.57
2021-09-01,9,7,2,28.57
2021-09-01,14,7,1,14.29
2021-09-01,15,7,2,28.57
2021-09-01,16,7,2,28.57
2021-09-01,19,7,1,14.29
2021-09-01,21,7,1,14.29
2021-09-01,22,7,1,14.29
2021-09-01,23,7,1,14.29
2021-09-01,24,7,1,14.29
2021-09-01,25,7,2,28.57
2021-09-01,26,7,1,14.29
2021-09-01,27,7,1,14.29
2021-09-01,28,7,1,14.29
2021-10-01,0,7,7,100.0
2021-10-01,1,7,1,14.29
2021-10-01,4,7,1,14.29
2021-10-01,5,7,2,28.57
2021-10-01,6,7,1,14.29
2021-10-01,7,7,1,14.29
2021-10-01,9,7,1,14.29
2021-10-01,13,7,1,14.29
2021-10-01,15,7,1,14.29
2021-10-01,21,7,1,14.29
2021-10-01,22,7,1,14.29
2021-10-01,26,7,1,14.29
2021-10-01,27,7,2,28.57
2021-11-01,0,3,3,100.0
2021-11-01,1,3,1,33.33
2021-11-01,8,3,1,33.33
2021-11-01,10,3,1,33.33
2021-11-01,12,3,1,33.33
2021-11-01,26,3,1,33.33
2021-12-01,0,8,8,100.0
2021-12-01,6,8,1,12.5
2021-12-01,7,8,1,12.5
2021-12-01,8,8,1,12.5
2021-12-01,11,8,1,12.5
2021-12-01,15,8,1,12.5
2021-12-01,16,8,1,12.5
2021-12-01,17,8,1,12.5
2021-12-01,18,8,3,37.5
2021-12-01,21,8,1,12.5
2021-12-01,23,8,1,12.5
2021-12-01,24,8,2,25.0
2021-12-01,26,8,1,12.5
2022-01-01,0,5,5,100.0
2022-01-01,2,5,1,20.0
2022-01-01,3,5,1,20.0
2022-01-01,5,5,1,20.0
2022-01-01,7,5,1,20.0
2022-01-01,8,5,1,20.0
2022-01-01,11,5,1,20.0
2022-01-01,15,5,1,20.0
2022-01-01,20,5,1,20.0
2022-01-01,21,5,1,20.0
2022-02-01,0,8,8,100.0
2022-02-01,5,8,1,12.5
2022-02-01,9,8,1,12.5
2022-02-01,12,8,1,12.5
2022-02-01,13,8,1,12.5
2022-02-01,15,8,1,12.5
2022-02-01,17,8,1,12.5
2022-02-01,18,8,1,12.5
2022-02-01,21,8,1,12.5
2022-02-01,24,8,1,12.5
2022-03-01,0,3,3,100.0
2022-03-01,2,3,2,66.67
2022-03-01,3,3,1,33.33
2022-03-01,10,3,1,33.33
2022-03-01,22,3,1,33.33
2022-04-01,0,8,8,100.0
2022-04-01,1,8,4,50.0
2022-04-01,4,8,1,12.5
2022-04-01,6,8,1,12.5
2022-04-01,7,8,2,25.0
2022-04-01,8,8,1,12.5
2022-04-01,10,8,1,12.5
2022-04-01,14,8,1,12.5
2022-04-01,16,8,1,12.5
2022-04-01,17,8,2,25.0
2022-04-01,19,8,1,12.5
2022-04-01,20,8,1,12.5
2022-04-01,21,8,2,25.0
2022-05-01,0,3,3,100.0
2022-05-01,8,3,1,33.33
2022-05-01,9,3,2,66.67
2022-06-01,0,2,2,100.0
2022-06-01,4,2,1,50.0
2022-06-01,5,2,1,50.0
2022-06-01,8,2,1,50.0
2022-07-01,0,1,1,100.0
2022-07-01,10,1,1,100.0
2022-08-01,0,5,5,100.0
2022-08-01,1,5,1,20.0
2022-08-01,3,5,2,40.0
2022-08-01,4,5,1,20.0
2022-08-01,7,5,1,20.0
2022-08-01,12,5,1,20.0
2022-08-01,13,5,1,20.0
2022-08-01,18,5,1,20.0
2022-09-01,0,6,6,100.0
2022-09-01,8,6,1,16.67
2022-09-01,11,6,1,16.67
2022-09-01,14,6,2,33.33
2022-10-01,0,4,4,100.0
2022-10-01,9,4,2,50.0
2022-10-01,13,4,1,25.0
2022-10-01,14,4,1,25.0
2022-10-01,15,4,1,25.0
2022-11-01,0,2,2,100.0
2022-11-01,6,2,1,50.0
2022-11-01,13,2,1,50.0
2022-11-01,15,2,1,50.0
2022-12-01,0,4,4,100.0
2022-12-01,3,4,1,25.0
2022-12-01,9,4,1,25.0
2022-12-01,13,4,1,25.0
2023-01-01,0,3,3,100.0
2023-01-01,1,3,1,33.33
2023-01-01,6,3,1,33.33
2023-01-01,12,3,1,33.33
2023-02-01,0,2,2,100.0
2023-02-01,2,2,1,50.0
2023-02-01,3,2,1,50.0
2023-03-01,0,2,2,100.0
2023-03-01,6,2,1,50.0
2023-04-01,0,2,2,100.0
2023-04-01,1,2,1,50.0
2023-04-01,3,2,1,50.0
2023-04-01,4,2,1,50.0
2023-04-01,5,2,1,50.0
2023-04-01,9,2,1,50.0
2023-04-01,11,2,1,50.0
2023-04-01,14,2,1,50.0
2023-04-01,15,2,1,50.0
2023-05-01,0,1,1,100.0
2023-05-01,8,1,1,100.0
2023-06-01,0,3,3,100.0
2023-06-01,1,3,1,33.33
2023-06-01,5,3,1,33.33
2023-06-01,7,3,1,33.33
2023-07-01,0,2,2,100.0
2023-07-01,1,2,1,50.0
2023-08-01,0,4,4,100.0
2023-08-01,1,4,1,25.0
2023-08-01,2,4,1,25.0
2023-09-01,0,1,1,100.0
2023-11-01,0,5,5,100.0
2023-11-01,2,5,1,20.0
2023-12-01,0,1,1,100.0
