cohort_month,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23,month_24,month_25,month_26,month_27,month_28,month_29,month_30,month_31,month_32,month_33,month_34,month_35,month_36,month_37,month_38,month_39,month_40,month_41,month_42,month_43,month_44,month_45,month_46,month_47,month_48,month_49,month_50,month_51,month_52,month_53,month_54
2020-11-01,100.0,,,6.67,6.67,13.33,6.67,,6.67,6.67,,20.0,,13.33,6.67,13.33,13.33,,6.67,13.33,,13.33,,,13.33,,,13.33,13.33,6.67,13.33,,,6.67,,6.67,6.67,13.33,6.67,,,,,,,,,,,,,,,,
2020-12-01,100.0,,,37.5,,12.5,,,25.0,,12.5,,12.5,,,25.0,,,,12.5,,25.0,12.5,12.5,,,,12.5,25.0,12.5,,12.5,,25.0,,,,25.0,,,,,,,,,,,,,,,,,
2021-01-01,100.0,,7.14,14.29,7.14,7.14,,14.29,7.14,,7.14,,,14.29,,,7.14,7.14,7.14,7.14,,21.43,,,,14.29,7.14,7.14,7.14,7.14,7.14,7.14,7.14,,,7.14,7.14,,,,,,,,,,,,,,,,,,
2021-02-01,100.0,,,,,8.33,,25.0,8.33,8.33,,8.33,8.33,,8.33,16.67,16.67,8.33,,16.67,,8.33,25.0,8.33,8.33,,,,,,8.33,8.33,16.67,,8.33,8.33,16.67,,,,,,,,,,,,,,,,,,
2021-03-01,100.0,,,7.69,7.69,,15.38,7.69,,7.69,7.69,,7.69,7.69,,15.38,,,15.38,,15.38,,7.69,15.38,,7.69,7.69,7.69,7.69,30.77,15.38,15.38,15.38,7.69,23.08,,,,,,,,,,,,,,,,,,,,
2021-04-01,100.0,6.67,13.33,6.67,,,,6.67,26.67,13.33,6.67,,6.67,,,,6.67,13.33,13.33,20.0,,,6.67,,20.0,6.67,20.0,20.0,,6.67,13.33,,6.67,6.67,20.0,,,,,,,,,,,,,,,,,,,,
2021-05-01,100.0,10.0,,,10.0,10.0,,,10.0,10.0,10.0,10.0,,,,10.0,,,,20.0,10.0,10.0,,20.0,10.0,,,10.0,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,100.0,18.18,,9.09,,18.18,9.09,,,9.09,,18.18,18.18,,9.09,9.09,9.09,9.09,,9.09,9.09,9.09,18.18,27.27,9.09,,9.09,27.27,9.09,9.09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,100.0,,,14.29,7.14,7.14,7.14,7.14,7.14,,,21.43,,14.29,7.14,,14.29,14.29,7.14,7.14,,14.29,14.29,7.14,7.14,14.29,14.29,,7.14,7.14,21.43,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,100.0,40.0,20.0,40.0,40.0,20.0,,20.0,,,40.0,,20.0,20.0,,20.0,,,,,,,20.0,20.0,,,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,100.0,28.57,,,,,,,,28.57,,,,,14.29,28.57,28.57,,,14.29,,14.29,14.29,14.29,14.29,28.57,14.29,14.29,14.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,100.0,14.29,,,14.29,28.57,14.29,14.29,,14.29,,,,14.29,,14.29,,,,,,14.29,14.29,,,,14.29,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,100.0,33.33,,,,,,,33.33,,33.33,,33.33,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,100.0,,,,,,12.5,12.5,12.5,,,12.5,,,,12.5,12.5,12.5,37.5,,,12.5,,12.5,25.0,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,100.0,,20.0,20.0,,20.0,,20.0,20.0,,,20.0,,,,20.0,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,100.0,,,,,12.5,,,,12.5,,,12.5,12.5,,12.5,,12.5,12.5,,,12.5,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,100.0,,66.67,33.33,,,,,,,33.33,,,,,,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01,100.0,50.0,,,12.5,,12.5,25.0,12.5,,12.5,,,,12.5,,12.5,25.0,,12.5,12.5,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-01,100.0,,,,,,,,33.33,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,100.0,,,,50.0,50.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,100.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-01,100.0,20.0,,40.0,20.0,,,20.0,,,,,20.0,20.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,100.0,,,,,,,,16.67,,,16.67,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,100.0,,,,,,,,,50.0,,,,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,100.0,,,,,,50.0,,,,,,,50.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,100.0,,,25.0,,,,,,25.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,100.0,33.33,,,,,33.33,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-01,100.0,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,100.0,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,100.0,50.0,,50.0,50.0,50.0,,,,50.0,,50.0,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,100.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,100.0,33.33,,,,33.33,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,100.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
